Kelas,Hari,Jam Ke,Waktu,Mata Pelajaran,Status
XII PPLG A,Senin,3,08.30-09.15,BING,Terjadwal
XII PPLG A,Senin,4,09.15-10.00,BING,Terjadwal
XII PPLG A,Senin,5,10.15-11.00,BINDO,Terjadwal
XII PPLG A,Senin,6,11.00-11.45,BINDO,Terjadwal
XII PPLG A,Senin,7,12.15-13.00,BJW,Terjadwal
XII PPLG A,Senin,8,13.00-13.45,BJW,Terjadwal
XII PPLG A,Senin,9,13.45-14.30,KOSONG,Kosong
XII PPLG A,Senin,10,14.30-15.15,KOSONG,Kosong
XII PPLG A,Senin,11,15.30-16.15,KOSONG,Kosong
XII PPLG A,Senin,12,16.15-17.00,KOSONG,Kosong
XII PPLG A,Selasa,1,07.00-07.45,MAT,Terjadwal
XII PPLG A,Selasa,2,07.45-08.30,MAT,Terjadwal
XII PPLG A,Selasa,3,08.30-09.15,PP,Terjadwal
XII PPLG A,Selasa,4,09.15-10.00,PP,Terjadwal
XII PPLG A,Selasa,5,10.15-11.00,MPP,Terjadwal
XII PPLG A,Selasa,6,11.00-11.45,MPP,Terjadwal
XII PPLG A,Selasa,7,12.15-13.00,MPP,Terjadwal
XII PPLG A,Selasa,8,13.00-13.45,MPP,Terjadwal
XII PPLG A,Selasa,9,13.45-14.30,PABP,Terjadwal
XII PPLG A,Selasa,10,14.30-15.15,PABP,Terjadwal
XII PPLG A,Selasa,11,15.30-16.15,KOSONG,Kosong
XII PPLG A,Selasa,12,16.15-17.00,KOSONG,Kosong
XII PPLG A,Rabu,1,07.00-07.45,PABP,Terjadwal
XII PPLG A,Rabu,2,07.45-08.30,PABP,Terjadwal
XII PPLG A,Rabu,3,08.30-09.15,BJW,Terjadwal
XII PPLG A,Rabu,4,09.15-10.00,BJW,Terjadwal
XII PPLG A,Rabu,5,10.15-11.00,MPP,Terjadwal
XII PPLG A,Rabu,6,11.00-11.45,MPP,Terjadwal
XII PPLG A,Rabu,7,12.15-13.00,MAT,Terjadwal
XII PPLG A,Rabu,8,13.00-13.45,MAT,Terjadwal
XII PPLG A,Rabu,9,13.45-14.30,KOSONG,Kosong
XII PPLG A,Rabu,10,14.30-15.15,KOSONG,Kosong
XII PPLG A,Rabu,11,15.30-16.15,KOSONG,Kosong
XII PPLG A,Rabu,12,16.15-17.00,KOSONG,Kosong
XII PPLG A,Kamis,1,07.00-07.45,BINDO,Terjadwal
XII PPLG A,Kamis,2,07.45-08.30,BINDO,Terjadwal
XII PPLG A,Kamis,3,08.30-09.15,PP,Terjadwal
XII PPLG A,Kamis,4,09.15-10.00,PP,Terjadwal
XII PPLG A,Kamis,5,10.15-11.00,BING,Terjadwal
XII PPLG A,Kamis,6,11.00-11.45,BING,Terjadwal
XII PPLG A,Kamis,7,12.15-13.00,PABP,Terjadwal
XII PPLG A,Kamis,8,13.00-13.45,PABP,Terjadwal
XII PPLG A,Kamis,9,13.45-14.30,MAT,Terjadwal
